# keyinject v1
# pid=79268 n=500 warmup=5 gap_ms=100.0 keycode=0 char=a
# inject_subsystem=nice.keyharness inject_category=inject inject_name=KeyPost signpost_id=seq
# mach_timebase numer=125 denom=3  (ns = ticks*numer/denom)
# anchor mach_abs_ticks=11962715517069 mach_cont_ticks=41777559310555 wall_epoch_ns=1782975423938397000
seq,warmup,keycode,mach_abs_ticks,mach_abs_ns,mach_cont_ticks,mach_cont_ns,wall_epoch_ns
1,1,0,11962723642924,498446818455166,41777567436410,1740731976517083,1782975424276975000
2,1,0,11962726365429,498446931892875,41777570158915,1740732089954791,1782975424390413000
3,1,0,11962728889401,498447037058375,41777572682887,1740732195120291,1782975424495579000
4,1,0,11962731332734,498447138863916,41777575126221,1740732296925875,1782975424597385000
5,1,0,11962733858602,498447244108416,41777577652088,1740732402170333,1782975424702629000
6,0,0,11962736349136,498447347880666,41777580142622,1740732505942583,1782975424806402000
7,0,0,11962738801519,498447450063291,41777582595006,1740732608125250,1782975424908585000
8,0,0,11962741316481,498447554853375,41777585109967,1740732712915291,1782975425013375000
9,0,0,11962743753770,498447656407083,41777587547257,1740732814469041,1782975425114929000
10,0,0,11962746245386,498447760224416,41777590038873,1740732918286375,1782975425218747000
11,0,0,11962748726825,498447863617708,41777592520311,1740733021679625,1782975425322140000
12,0,0,11962751198806,498447966616916,41777594992293,1740733124678875,1782975425425140000
13,0,0,11962753716619,498448071525791,41777597510105,1740733229587708,1782975425530048000
14,0,0,11962756242636,498448176776500,41777600036122,1740733334838416,1782975425635299000
15,0,0,11962758656056,498448277335666,41777602449543,1740733435397625,1782975425735859000
16,0,0,11962761163284,498448381803500,41777604956770,1740733539865416,1782975425840327000
17,0,0,11962763600708,498448483362833,41777607394194,1740733641424750,1782975425941887000
18,0,0,11962766071474,498448586311416,41777609864961,1740733744373375,1782975426044836000
19,0,0,11962768597927,498448691580291,41777612391414,1740733849642250,1782975426150105000
20,0,0,11962771123579,498448796815791,41777614917065,1740733954877708,1782975426255340000
21,0,0,11962773648575,498448902023958,41777617442062,1740734060085916,1782975426360549000
22,0,0,11962776115064,498449004794333,41777619908551,1740734162856291,1782975426463320000
23,0,0,11962778642391,498449110099625,41777622435877,1740734268161541,1782975426568625000
24,0,0,11962781095243,498449212301791,41777624888729,1740734370363708,1782975426670827000
25,0,0,11962783620860,498449317535833,41777627414347,1740734475597791,1782975426776062000
26,0,0,11962786148471,498449422852958,41777629941957,1740734580914875,1782975426881379000
27,0,0,11962788619456,498449525810666,41777632412943,1740734683872625,1782975426984337000
28,0,0,11962791057263,498449627385958,41777634850749,1740734785447875,1782975427085912000
29,0,0,11962793581117,498449732546541,41777637374603,1740734890608458,1782975427191073000
30,0,0,11962796107279,498449837803291,41777639900766,1740734995865250,1782975427296330000
31,0,0,11962798550996,498449939624833,41777642344482,1740735097686750,1782975427398152000
32,0,0,11962801078225,498450044926041,41777644871712,1740735202988000,1782975427503453000
33,0,0,11962803604586,498450150191083,41777647398073,1740735308253041,1782975427608719000
34,0,0,11962806132471,498450255519625,41777649925958,1740735413581583,1782975427714048000
35,0,0,11962808627359,498450359473291,41777652420846,1740735517535250,1782975427818002000
36,0,0,11962811126768,498450463615333,41777654920254,1740735621677250,1782975427922144000
37,0,0,11962813652751,498450568864625,41777657446237,1740735726926541,1782975428027394000
38,0,0,11962816178197,498450674091541,41777659971684,1740735832153500,1782975428132621000
39,0,0,11962818623349,498450775972875,41777662416835,1740735934034791,1782975428234502000
40,0,0,11962821148988,498450881207833,41777664942474,1740736039269750,1782975428339738000
41,0,0,11962823675195,498450986466458,41777667468681,1740736144528375,1782975428444996000
42,0,0,11962826086767,498451086948625,41777669880254,1740736245010583,1782975428545479000
43,0,0,11962828522635,498451188443125,41777672316122,1740736346505083,1782975428646974000
44,0,0,11962831035561,498451293148375,41777674829048,1740736451210333,1782975428751679000
45,0,0,11962833526729,498451396947041,41777677320216,1740736555009000,1782975428855478000
