# keyinject v1
# pid=91729 n=500 warmup=5 gap_ms=100.0 keycode=0 char=a
# inject_subsystem=nice.keyharness inject_category=inject inject_name=KeyPost signpost_id=seq
# mach_timebase numer=125 denom=3  (ns = ticks*numer/denom)
# anchor mach_abs_ticks=12155566765283 mach_cont_ticks=42870621903591 wall_epoch_ns=1783020968037040000
seq,warmup,keycode,mach_abs_ticks,mach_abs_ns,mach_cont_ticks,mach_cont_ns,wall_epoch_ns
1,1,0,12155574881442,506482286726750,42870630019750,1786276250822916,1783020968375212000
2,1,0,12155577386768,506482391115333,42870632525076,1786276355211500,1783020968479600000
3,1,0,12155579910845,506482496285208,42870635049154,1786276460381416,1783020968584770000
4,1,0,12155582401524,506482600063500,42870637539833,1786276564159708,1783020968688548000
5,1,0,12155584925883,506482705245125,42870640064191,1786276669341291,1783020968793729000
6,0,0,12155587423386,506482809307750,42870642561694,1786276773403916,1783020968897791000
7,0,0,12155589948039,506482914501625,42870645086347,1786276878597791,1783020969002985000
8,0,0,12155592447462,506483018644250,42870647585770,1786276982740416,1783020969107127000
9,0,0,12155594971744,506483123822666,42870650110053,1786277087918875,1783020969212305000
10,0,0,12155597496780,506483229032500,42870652635088,1786277193128666,1783020969317514000
11,0,0,12155600013009,506483333875375,42870655151317,1786277297971541,1783020969422357000
12,0,0,12155602537508,506483439062833,42870657675816,1786277403159000,1783020969527544000
13,0,0,12155605060615,506483544192291,42870660198923,1786277508288458,1783020969632673000
14,0,0,12155607583903,506483649329291,42870662722211,1786277613425458,1783020969737810000
15,0,0,12155610108034,506483754501416,42870665246343,1786277718597625,1783020969842982000
16,0,0,12155612604171,506483858507125,42870667742479,1786277822603291,1783020969946987000
17,0,0,12155615127729,506483963655375,42870670266037,1786277927751541,1783020970052135000
18,0,0,12155617650537,506484068772375,42870672788845,1786278032868541,1783020970157251000
19,0,0,12155620173587,506484173899458,42870675311895,1786278137995625,1783020970262378000
20,0,0,12155622697190,506484279049583,42870677835499,1786278243145791,1783020970367528000
21,0,0,12155625116688,506484379862000,42870680254997,1786278343958208,1783020970468340000
22,0,0,12155627574687,506484482278625,42870682712995,1786278446374791,1783020970570757000
23,0,0,12155630046474,506484585269750,42870685184782,1786278549365916,1783020970673747000
24,0,0,12155632472109,506484686337875,42870687610417,1786278650434041,1783020970774815000
25,0,0,12155634995875,506484791494791,42870690134183,1786278755590958,1783020970879972000
26,0,0,12155637516116,506484896504833,42870692654425,1786278860601041,1783020970984981000
27,0,0,12155640040226,506485001676083,42870695178534,1786278965772250,1783020971090152000
28,0,0,12155642494448,506485103935333,42870697632756,1786279068031500,1783020971192411000
29,0,0,12155644964233,506485206843041,42870700102542,1786279170939250,1783020971295318000
30,0,0,12155647487972,506485311998833,42870702626281,1786279276095041,1783020971400474000
31,0,0,12155649975279,506485415636625,42870705113587,1786279379732791,1783020971504111000
32,0,0,12155652499904,506485520829333,42870707638213,1786279484925541,1783020971609304000
33,0,0,12155655025008,506485626042000,42870710163317,1786279590138208,1783020971714516000
34,0,0,12155657549212,506485731217166,42870712687520,1786279695313333,1783020971819691000
35,0,0,12155660073880,506485836411666,42870715212189,1786279800507875,1783020971924885000
36,0,0,12155662586958,506485941123250,42870717725266,1786279905219416,1783020972029597000
37,0,0,12155665110952,506486046289666,42870720249260,1786280010385833,1783020972134762000
38,0,0,12155667601482,506486150061750,42870722739791,1786280114157958,1783020972238534000
39,0,0,12155670064740,506486252697500,42870725203048,1786280216793666,1783020972341169000
40,0,0,12155672564728,506486356863666,42870727703037,1786280320959875,1783020972445336000
41,0,0,12155675089162,506486462048416,42870730227470,1786280426144583,1783020972550520000
42,0,0,12155677610776,506486567115666,42870732749084,1786280531211833,1783020972655587000
43,0,0,12155680029424,506486667892666,42870735167733,1786280631988875,1783020972756363000
44,0,0,12155682553217,506486773050708,42870737691525,1786280737146875,1783020972861521000
45,0,0,12155685078388,506486878266166,42870740216696,1786280842362333,1783020972966736000
46,0,0,12155687601884,506486983411833,42870742740192,1786280947508000,1783020973071881000
47,0,0,12155690125698,506487088570750,42870745264006,1786281052666916,1783020973177040000
48,0,0,12155692604067,506487191836125,42870747742376,1786281155932333,1783020973280305000
49,0,0,12155695127474,506487296978083,42870750265782,1786281261074250,1783020973385447000
50,0,0,12155697634114,506487401421416,42870752772422,1786281365517583,1783020973489890000
51,0,0,12155700158487,506487506603625,42870755296795,1786281470699791,1783020973595071000
52,0,0,12155702567802,506487606991750,42870757706111,1786281571087958,1783020973695459000
53,0,0,12155704986936,506487707789000,42870760125245,1786281671885208,1783020973796256000
54,0,0,12155707450542,506487810439250,42870762588850,1786281774535416,1783020973898906000
55,0,0,12155709973655,506487915568958,42870765111964,1786281879665166,1783020974004036000
56,0,0,12155712481376,506488020057333,42870767619684,1786281984153500,1783020974108524000
57,0,0,12155715006248,506488125260333,42870770144556,1786282089356500,1783020974213726000
58,0,0,12155717532505,506488230521041,42870772670813,1786282194617208,1783020974318987000
59,0,0,12155719974222,506488332259250,42870775112530,1786282296355416,1783020974420724000
60,0,0,12155722498199,506488437424958,42870777636507,1786282401521125,1783020974525890000
61,0,0,12155725022461,506488542602541,42870780160769,1786282506698708,1783020974631067000
62,0,0,12155727547571,506488647815458,42870782685879,1786282611911625,1783020974736280000
63,0,0,12155729985828,506488749409500,42870785124136,1786282713505666,1783020974837873000
64,0,0,12155732510476,506488854603166,42870787648784,1786282818699333,1783020974943067000
65,0,0,12155735033215,506488959717291,42870790171524,1786282923813500,1783020975048180000
66,0,0,12155737531570,506489063815416,42870792669878,1786283027911583,1783020975152278000
67,0,0,12155739974772,506489165615500,42870795113081,1786283129711708,1783020975254078000
68,0,0,12155742500267,506489270844458,42870797638576,1786283234940666,1783020975359307000
69,0,0,12155744986765,506489374448541,42870800125073,1786283338544708,1783020975462910000
70,0,0,12155747512491,506489479687125,42870802650799,1786283443783291,1783020975568149000
71,0,0,12155750039314,506489584971416,42870805177622,1786283549067583,1783020975673433000
72,0,0,12155752478466,506489686602750,42870807616774,1786283650698916,1783020975775063000
73,0,0,12155755003600,506489791816666,42870810141908,1786283755912833,1783020975880277000
74,0,0,12155757527503,506489896979291,42870812665812,1786283861075500,1783020975985439000
75,0,0,12155760051517,506490002146541,42870815189825,1786283966242708,1783020976090607000
76,0,0,12155762577597,506490107399875,42870817715906,1786284071496083,1783020976195859000
77,0,0,12155765102294,506490212595583,42870820240602,1786284176691750,1783020976301055000
78,0,0,12155767625111,506490317712958,42870822763419,1786284281809125,1783020976406172000
79,0,0,12155770149096,506490422879000,42870825287404,1786284386975166,1783020976511337000
80,0,0,12155772672640,506490528026666,42870827810948,1786284492122833,1783020976616485000
81,0,0,12155775199636,506490633318166,42870830337945,1786284597414375,1783020976721776000
82,0,0,12155777725884,506490738578500,42870832864193,1786284702674708,1783020976827036000
83,0,0,12155780234315,506490843096458,42870835372623,1786284807192625,1783020976931553000
84,0,0,12155782758524,506490948271833,42870837896833,1786284912368041,1783020977036729000
85,0,0,12155785276658,506491053194083,42870840414967,1786285017290291,1783020977141650000
86,0,0,12155787714686,506491154778583,42870842852995,1786285118874791,1783020977243235000
87,0,0,12155790206923,506491258621791,42870845345231,1786285222717958,1783020977347077000
88,0,0,12155792706134,506491362755583,42870847844442,1786285326851750,1783020977451211000
89,0,0,12155795230764,506491467948500,42870850369072,1786285432044666,1783020977556403000
90,0,0,12155797754922,506491573121750,42870852893231,1786285537217958,1783020977661576000
91,0,0,12155800236001,506491676500041,42870855374310,1786285640596250,1783020977764954000
92,0,0,12155802715038,506491779793250,42870857853346,1786285743889416,1783020977868247000
93,0,0,12155805240444,506491885018500,42870860378752,1786285849114666,1783020977973472000
94,0,0,12155807766481,506491990270041,42870862904789,1786285954366208,1783020978078723000
95,0,0,12155810289443,506492095393458,42870865427751,1786286059489625,1783020978183846000
96,0,0,12155812760052,506492198335500,42870867898361,1786286162431708,1783020978286788000
97,0,0,12155815246458,506492301935750,42870870384766,1786286266031916,1783020978390388000
98,0,0,12155817787129,506492407797041,42870872925437,1786286371893208,1783020978496249000
99,0,0,12155820255569,506492510648708,42870875393877,1786286474744875,1783020978599100000
100,0,0,12155822716696,506492613195666,42870877855005,1786286577291875,1783020978701647000
101,0,0,12155825212910,506492717204583,42870880351218,1786286681300750,1783020978805656000
102,0,0,12155827738680,506492822445000,42870882876988,1786286786541166,1783020978910896000
103,0,0,12155830262309,506492927596208,42870885400617,1786286891692375,1783020979016046000
104,0,0,12155832785396,506493032724833,42870887923704,1786286996821000,1783020979121175000
105,0,0,12155835297953,506493137414708,42870890436262,1786287101510916,1783020979225864000
106,0,0,12155837801791,506493241741291,42870892940100,1786287205837500,1783020979330190000
107,0,0,12155840326219,506493346925791,42870895464527,1786287311021958,1783020979435374000
108,0,0,12155842851617,506493452150708,42870897989925,1786287416246875,1783020979540599000
109,0,0,12155845375875,506493557328125,42870900514184,1786287521424333,1783020979645776000
110,0,0,12155847900245,506493662510208,42870903038553,1786287626606375,1783020979750958000
111,0,0,12155850426138,506493767755750,42870905564446,1786287731851916,1783020979856203000
112,0,0,12155852854639,506493868943291,42870907992947,1786287833039458,1783020979957390000
113,0,0,12155855378204,506493974091833,42870910516512,1786287938188000,1783020980062539000
114,0,0,12155857786484,506494074436833,42870912924792,1786288038533000,1783020980162883000
115,0,0,12155860310718,506494179613250,42870915449026,1786288143709416,1783020980268059000
116,0,0,12155862774720,506494282280000,42870917913029,1786288246376208,1783020980370726000
117,0,0,12155865276516,506494386521500,42870920414825,1786288350617708,1783020980474967000
118,0,0,12155867791547,506494491314458,42870922929855,1786288455410625,1783020980579759000
119,0,0,12155870315609,506494596483708,42870925453917,1786288560579875,1783020980684928000
120,0,0,12155872827885,506494701161875,42870927966194,1786288665258083,1783020980789606000
121,0,0,12155875354405,506494806433541,42870930492713,1786288770529708,1783020980894877000
122,0,0,12155877877472,506494911561333,42870933015780,1786288875657500,1783020981000005000
123,0,0,12155880400621,506495016692541,42870935538930,1786288980788750,1783020981105136000
124,0,0,12155882924157,506495121839875,42870938062465,1786289085936041,1783020981210283000
125,0,0,12155885436165,506495226506875,42870940574473,1786289190603041,1783020981314950000
126,0,0,12155887960320,506495331680000,42870943098628,1786289295776166,1783020981420122000
127,0,0,12155890446751,506495435281291,42870945585059,1786289399377458,1783020981523723000
128,0,0,12155892865088,506495536045333,42870948003396,1786289500141500,1783020981624487000
129,0,0,12155895389627,506495641234458,42870950527935,1786289605330625,1783020981729676000
130,0,0,12155897807058,506495741960750,42870952945367,1786289706056958,1783020981830402000
131,0,0,12155900332690,506495847195416,42870955470998,1786289811291583,1783020981935636000
132,0,0,12155902856040,506495952335000,42870957994348,1786289916431166,1783020982040775000
133,0,0,12155905380322,506496057513416,42870960518630,1786290021609583,1783020982145953000
