# keyinject v1
# pid=73399 n=500 warmup=5 gap_ms=100.0 keycode=0 char=a
# inject_subsystem=nice.keyharness inject_category=inject inject_name=KeyPost signpost_id=seq
# mach_timebase numer=125 denom=3  (ns = ticks*numer/denom)
# anchor mach_abs_ticks=11902003003443 mach_cont_ticks=41716846796930 wall_epoch_ns=1782972894226436000
seq,warmup,keycode,mach_abs_ticks,mach_abs_ns,mach_cont_ticks,mach_cont_ns,wall_epoch_ns
1,1,0,11902010783696,495917115987333,41716854577182,1738202274049250,1782972894550611000
2,1,0,11902013396418,495917224850750,41716857189905,1738202382912708,1782972894659473000
3,1,0,11902015920094,495917330003916,41716859713581,1738202488065875,1782972894764626000
4,1,0,11902018444490,495917435187083,41716862237977,1738202593249041,1782972894869809000
5,1,0,11902020969828,495917540409500,41716864763315,1738202698471458,1782972894975031000
6,0,0,11902023495642,495917645651750,41716867289129,1738202803713708,1782972895080272000
7,0,0,11902026018853,495917750785541,41716869812340,1738202908847500,1782972895185405000
8,0,0,11902028542016,495917855917333,41716872335502,1738203013979250,1782972895290536000
9,0,0,11902031065839,495917961076625,41716874859326,1738203119138583,1782972895395695000
10,0,0,11902033588562,495918066190083,41716877382048,1738203224252000,1782972895500807000
11,0,0,11902036109242,495918171218416,41716879902728,1738203329280333,1782972895605835000
12,0,0,11902038534437,495918272268208,41716882327923,1738203430330125,1782972895706884000
13,0,0,11902041057971,495918377415458,41716884851457,1738203535477375,1782972895812031000
14,0,0,11902043545099,495918481045791,41716887338586,1738203639107750,1782972895915661000
15,0,0,11902046039772,495918584990500,41716889833258,1738203743052416,1782972896019605000
16,0,0,11902048567153,495918690298041,41716892360639,1738203848359958,1782972896124911000
17,0,0,11902051092443,495918795518458,41716894885929,1738203953580375,1782972896230131000
18,0,0,11902053616500,495918900687500,41716897409986,1738204058749416,1782972896335300000
19,0,0,11902056124130,495919005172083,41716899917616,1738204163234000,1782972896439784000
20,0,0,11902058649577,495919110399041,41716902443063,1738204268460958,1782972896545010000
21,0,0,11902061174009,495919215583708,41716904967495,1738204373645625,1782972896650194000
22,0,0,11902063676081,495919319836708,41716907469567,1738204477898625,1782972896754446000
23,0,0,11902066202000,495919425083333,41716909995487,1738204583145291,1782972896859692000
24,0,0,11902068726003,495919530250125,41716912519489,1738204688312041,1782972896964858000
25,0,0,11902071169789,495919632074541,41716914963275,1738204790136458,1782972897066682000
26,0,0,11902073692856,495919737202333,41716917486342,1738204895264250,1782972897171809000
27,0,0,11902076217459,495919842394125,41716920010945,1738205000456041,1782972897277000000
28,0,0,11902078679709,495919944987875,41716922473195,1738205103049791,1782972897379593000
29,0,0,11902081205449,495920050227041,41716924998935,1738205208288958,1782972897484832000
30,0,0,11902083729583,495920155399291,41716927523069,1738205313461208,1782972897590003000
31,0,0,11902086241628,495920260067833,41716930035114,1738205418129750,1782972897694672000
32,0,0,11902088765924,495920365246833,41716932559411,1738205523308791,1782972897799850000
33,0,0,11902091290036,495920470418166,41716935083523,1738205628480125,1782972897905020000
34,0,0,11902093699726,495920570821916,41716937493212,1738205728883833,1782972898005424000
35,0,0,11902096145009,495920672708708,41716939938495,1738205830770625,1782972898107310000
36,0,0,11902098670967,495920777956958,41716942464453,1738205936018875,1782972898212557000
37,0,0,11902101194143,495920883089291,41716944987629,1738206041151208,1782972898317689000
38,0,0,11902103620524,495920984188500,41716947414011,1738206142250458,1782972898418788000
39,0,0,11902106143888,495921089328666,41716949937375,1738206247390625,1782972898523927000
