seq,latency_ms
6,17.4012
7,15.3522
8,10.5539
9,8.3150
10,4.4641
11,18.4060
12,15.3670
13,10.4164
14,4.6299
15,4.5621
16,16.9338
17,15.4214
18,11.8991
19,7.0661
20,17.7112
21,13.3656
22,10.5273
23,5.2082
24,19.4142
25,14.6163
26,9.3517
27,6.2761
28,3.7611
29,16.0290
30,10.2586
31,8.4352
32,20.4901
33,14.8362
34,9.9574
35,5.4319
36,18.4446
37,12.8001
38,7.8039
39,6.0153
40,17.6116
41,12.3381
42,11.7200
43,9.7470
44,5.3932
45,18.2608
46,17.7536
47,11.8739
48,6.6585
49,18.5344
50,16.3892
51,14.9258
52,12.3511
53,9.0437
54,20.4133
55,18.4541
56,15.0410
57,11.2146
58,6.9860
59,18.2204
60,15.0873
61,9.2925
62,9.2670
63,20.6452
64,14.8000
65,9.6769
66,4.9118
67,16.7160
68,11.9632
69,6.1372
70,18.4823
71,12.5718
72,7.2797
73,4.2598
74,18.4090
75,12.8780
76,6.9624
77,3.8734
78,15.5063
79,10.5990
80,5.3060
81,18.2613
82,12.9323
83,7.7159
84,5.3416
85,15.9510
86,10.9675
87,6.1800
88,5.4024
89,16.3171
90,12.1620
91,6.9532
92,20.1189
93,15.3409
94,9.5495
95,5.2296
96,18.4118
97,13.8214
98,8.9464
99,19.3635
100,16.1655
101,10.2796
102,4.9048
103,17.9953
104,17.6127
105,11.8575
106,7.4011
107,18.3599
108,13.4649
109,9.5042
110,20.7249
111,18.3940
112,16.9095
113,11.8347
114,6.1005
115,17.8868
116,12.8143
117,7.4746
118,4.3410
119,20.0357
120,15.2103
121,10.3612
122,5.7370
123,17.7545
124,13.3959
125,13.4980
126,8.0739
127,19.8549
128,14.4949
129,13.8536
130,8.5545
131,7.5103
132,19.4115
133,13.9527
134,8.7189
135,6.6799
136,17.7172
137,14.9291
138,10.6449
139,4.9351
140,19.1889
141,14.9157
142,9.8209
143,7.4740
144,4.4763
145,16.5048
146,11.6480
147,6.1756
148,17.1295
149,12.1925
150,7.1200
151,20.3962
152,15.0160
153,9.5705
154,5.1548
155,16.9725
156,16.2167
157,10.9182
158,5.6527
159,16.8605
160,15.4008
161,9.6656
162,5.1041
163,15.9966
164,11.2459
165,6.3464
166,17.6265
167,16.8530
168,11.7459
169,6.2953
170,17.7448
171,13.1045
172,7.6340
173,19.1757
174,14.5313
175,8.6585
176,20.7757
177,16.1298
178,11.4897
179,5.5151
180,17.9923
181,12.2416
182,6.5260
183,18.8243
184,13.5714
185,7.6841
186,19.9205
187,14.3572
188,9.7877
189,4.6265
190,20.0895
191,14.2548
192,9.7833
193,9.8574
194,4.2688
195,16.7638
196,10.0051
197,8.9817
198,5.3970
199,19.1992
200,17.1201
201,11.0480
202,6.7685
203,4.1273
204,16.2946
205,11.1677
206,5.9427
207,21.1313
208,15.9283
209,10.6814
210,5.4591
211,16.4238
212,13.7241
213,8.6280
214,20.0138
215,15.2914
216,13.1093
217,7.9751
218,18.7484
219,18.2315
220,14.4816
221,10.3617
222,5.3050
223,18.5680
224,13.5251
225,8.2773
226,20.2797
227,14.6143
228,8.8030
229,20.6855
230,14.5285
231,10.1996
232,8.2929
233,5.6493
234,17.2550
235,11.0395
236,9.9936
237,8.4814
238,20.8230
239,17.9219
240,13.3663
241,7.9852
242,20.2568
243,16.7823
244,15.4068
245,12.9750
246,8.0574
247,20.5583
248,14.8156
249,9.2157
250,4.9065
251,17.2972
252,13.3596
253,7.9070
254,18.7468
255,13.6363
256,9.2957
257,5.3141
258,18.0024
259,12.3600
260,12.0789
261,6.2947
