seq,latency_ms
6,1.2058
7,5.5658
8,1.7205
9,1.3718
10,6.4322
11,1.9831
12,1.3489
13,1.9589
14,2.2407
15,5.6514
16,1.6440
17,1.5454
18,6.2250
19,1.2899
20,1.7194
21,6.0622
22,4.7019
23,1.4572
24,2.6911
25,6.5361
26,1.6758
27,1.7031
28,1.5745
29,4.1586
30,1.6290
31,1.5123
32,5.8010
33,1.7292
34,1.7175
35,2.0804
36,1.2389
37,7.1103
38,4.5555
39,1.1440
40,1.5413
41,2.7091
42,2.0003
43,1.5745
44,1.5505
45,1.6086
46,1.6074
47,3.3697
48,1.5408
49,3.2019
50,2.6139
51,1.6504
52,1.6199
53,4.4364
54,1.3955
55,1.9447
56,4.3962
57,2.4519
58,1.3265
59,3.6634
60,3.4125
61,2.3828
62,1.5845
63,1.7925
64,1.7439
65,3.4790
66,5.7467
67,1.3850
68,1.6080
69,1.6145
70,2.2182
71,5.5843
72,1.5920
73,1.6981
74,8.7821
75,4.2542
76,1.6160
77,1.6139
78,2.5942
79,8.8219
80,2.9114
81,2.3809
82,2.1532
83,3.0946
84,1.7538
85,1.5746
86,4.2795
87,1.8621
88,1.9599
89,2.3397
90,7.0429
91,4.7164
92,3.2511
93,1.3502
94,1.1786
95,2.8074
96,2.8428
97,1.6082
98,1.5280
99,5.1675
100,1.9105
101,2.4333
102,7.7813
103,1.5138
104,1.7282
105,3.3181
106,4.8911
107,1.6347
108,1.5848
109,6.7194
110,4.4767
111,1.7688
112,2.6860
113,6.0466
114,1.4048
115,1.5953
116,4.4890
117,2.3614
118,2.2889
119,7.1947
120,1.8661
121,1.6217
122,1.6020
123,1.7197
124,1.2214
125,1.2143
126,3.4872
127,5.8070
128,2.9518
129,1.5804
130,9.0638
131,2.1806
132,1.4169
133,3.2333
134,6.0373
135,2.3809
136,3.7911
137,1.9433
138,1.3661
139,4.2978
140,2.0596
141,1.4723
142,1.3941
143,2.0335
144,6.1140
145,5.2615
146,1.2910
147,3.6144
148,2.2715
149,2.1056
150,1.1612
151,1.5588
152,3.0759
153,4.5511
154,1.6306
155,1.7295
156,2.0490
157,5.9740
158,1.5883
159,1.6864
160,2.9060
161,3.3952
162,1.5247
163,1.5251
164,2.2039
165,2.5056
166,1.6469
167,1.4638
168,2.7044
169,1.7344
170,1.3876
171,2.7358
172,1.7883
173,1.1770
174,1.4020
175,1.8109
176,5.2631
177,1.6338
178,1.6279
179,1.6017
180,7.0225
181,1.3098
182,1.4610
183,1.6546
184,2.2785
185,1.3159
186,1.4423
187,6.9315
188,1.4346
189,1.6663
190,8.1616
191,2.7442
192,1.5451
193,0.8450
194,4.4801
195,1.0183
196,1.2402
197,4.7592
198,6.4116
199,1.6875
200,1.5217
201,5.3030
202,2.0830
203,1.6438
204,2.5230
205,5.7904
206,1.5745
207,1.5670
208,5.8505
209,3.2975
210,0.9662
211,1.2620
212,3.7494
213,1.6298
214,2.3286
215,3.6227
216,3.1105
217,1.5370
218,1.9636
219,5.6518
220,1.1635
221,2.0311
222,6.8332
223,1.5211
224,1.5810
225,2.5765
226,4.9131
227,1.6673
228,1.6256
229,1.8887
230,1.6681
231,1.8793
232,1.5958
233,6.4794
234,1.9138
235,2.2492
236,1.5473
237,3.5305
238,5.9872
239,1.6058
240,1.5834
241,4.9013
242,1.6862
243,1.4434
244,3.7234
245,1.8662
246,2.0510
247,1.7113
248,2.0667
249,3.8789
250,2.5890
251,3.4517
252,1.5349
253,2.0012
254,2.6009
255,2.3197
256,3.3151
257,0.8015
258,1.2111
259,2.6680
260,1.8777
261,2.0736
262,2.1496
263,1.5306
264,8.4685
265,2.9900
266,1.9685
267,0.9349
268,6.1305
269,1.6735
270,1.4310
271,3.2228
272,3.6581
273,3.1668
274,2.1568
275,1.6294
276,3.7791
277,1.1865
278,1.4291
279,5.6693
280,1.3482
281,2.0034
282,2.2513
283,4.3231
284,2.8096
285,1.4970
286,2.4470
287,1.4224
288,1.7483
289,2.6487
290,2.7518
291,5.3146
292,1.6529
