# gpui-term run metadata (parse rows below; lines starting '#' are comments)
# display=Built-in Retina Display [1470x956 @ 0,0] (max 60 Hz)
# build=release seed=42 bytes_per_sec=500000 windows=1 streaming=1 bg_bps=0
# mode=atlas scrollback=10000 gpui_txn=0 damage_only=0 trace=-
metric,stack,phase,build,idx,value,unit
frame_interval,gpui-native,load,poc,0,45.499916666666664,ms
frame_interval,gpui-native,load,poc,1,16.665625,ms
frame_interval,gpui-native,load,poc,2,16.655083333333334,ms
frame_interval,gpui-native,load,poc,3,16.663541666666667,ms
frame_interval,gpui-native,load,poc,4,16.64825,ms
frame_interval,gpui-native,load,poc,5,16.67125,ms
frame_interval,gpui-native,load,poc,6,16.664333333333335,ms
frame_interval,gpui-native,load,poc,7,16.676666666666666,ms
frame_interval,gpui-native,load,poc,8,16.667208333333335,ms
frame_interval,gpui-native,load,poc,9,16.6655,ms
frame_interval,gpui-native,load,poc,10,16.663958333333333,ms
frame_interval,gpui-native,load,poc,11,16.691458333333333,ms
frame_interval,gpui-native,load,poc,12,16.655541666666664,ms
frame_interval,gpui-native,load,poc,13,16.666708333333332,ms
frame_interval,gpui-native,load,poc,14,16.662333333333333,ms
frame_interval,gpui-native,load,poc,15,16.663541666666667,ms
frame_interval,gpui-native,load,poc,16,16.669125,ms
frame_interval,gpui-native,load,poc,17,16.646666666666665,ms
frame_interval,gpui-native,load,poc,18,15.913958333333333,ms
frame_interval,gpui-native,load,poc,19,17.435958333333332,ms
frame_interval,gpui-native,load,poc,20,16.666291666666666,ms
frame_interval,gpui-native,load,poc,21,16.666708333333332,ms
frame_interval,gpui-native,load,poc,22,16.661125,ms
frame_interval,gpui-native,load,poc,23,14.954875,ms
frame_interval,gpui-native,load,poc,24,18.39304166666667,ms
frame_interval,gpui-native,load,poc,25,16.666041666666665,ms
frame_interval,gpui-native,load,poc,26,16.655375,ms
frame_interval,gpui-native,load,poc,27,16.666541666666667,ms
frame_interval,gpui-native,load,poc,28,16.666583333333335,ms
frame_interval,gpui-native,load,poc,29,16.663958333333333,ms
frame_interval,gpui-native,load,poc,30,16.665666666666667,ms
frame_interval,gpui-native,load,poc,31,16.6565,ms
frame_interval,gpui-native,load,poc,32,14.738708333333333,ms
frame_interval,gpui-native,load,poc,33,18.616958333333333,ms
frame_interval,gpui-native,load,poc,34,16.691416666666665,ms
frame_interval,gpui-native,load,poc,35,14.719875,ms
frame_interval,gpui-native,load,poc,36,18.625333333333334,ms
frame_interval,gpui-native,load,poc,37,16.622958333333333,ms
frame_interval,gpui-native,load,poc,38,16.66,ms
frame_interval,gpui-native,load,poc,39,16.684083333333334,ms
frame_interval,gpui-native,load,poc,40,16.657833333333333,ms
frame_interval,gpui-native,load,poc,41,16.6795,ms
frame_interval,gpui-native,load,poc,42,16.654833333333332,ms
frame_interval,gpui-native,load,poc,43,16.671583333333334,ms
frame_interval,gpui-native,load,poc,44,16.669375,ms
frame_interval,gpui-native,load,poc,45,16.658333333333335,ms
frame_interval,gpui-native,load,poc,46,16.657833333333333,ms
frame_interval,gpui-native,load,poc,47,16.681916666666666,ms
frame_interval,gpui-native,load,poc,48,16.662041666666667,ms
frame_interval,gpui-native,load,poc,49,14.990375,ms
frame_interval,gpui-native,load,poc,50,18.348,ms
frame_interval,gpui-native,load,poc,51,16.660166666666665,ms
frame_interval,gpui-native,load,poc,52,16.658583333333333,ms
frame_interval,gpui-native,load,poc,53,16.660083333333333,ms
frame_interval,gpui-native,load,poc,54,16.673208333333335,ms
frame_interval,gpui-native,load,poc,55,16.666791666666665,ms
frame_interval,gpui-native,load,poc,56,16.667291666666667,ms
frame_interval,gpui-native,load,poc,57,16.666708333333332,ms
frame_interval,gpui-native,load,poc,58,16.658791666666666,ms
frame_interval,gpui-native,load,poc,59,16.673666666666666,ms
frame_interval,gpui-native,load,poc,60,16.665166666666668,ms
frame_interval,gpui-native,load,poc,61,16.683041666666664,ms
frame_interval,gpui-native,load,poc,62,16.653291666666664,ms
frame_interval,gpui-native,load,poc,63,16.678083333333333,ms
frame_interval,gpui-native,load,poc,64,16.657208333333333,ms
frame_interval,gpui-native,load,poc,65,16.678125,ms
frame_interval,gpui-native,load,poc,66,15.93975,ms
