# gpui-term run metadata (parse rows below; lines starting '#' are comments)
# display=Built-in Retina Display [1470x956 @ 0,0] (max 60 Hz)
# build=release seed=42 bytes_per_sec=500000 windows=1 streaming=1 bg_bps=0
# mode=resize scrollback=10000 gpui_txn=0 damage_only=0 trace=-
metric,stack,phase,build,idx,value,unit
frame_interval,gpui-native,load,poc,0,61.10775,ms
frame_interval,gpui-native,load,poc,1,16.650833333333335,ms
frame_interval,gpui-native,load,poc,2,16.672875,ms
frame_interval,gpui-native,load,poc,3,16.655708333333333,ms
frame_interval,gpui-native,load,poc,4,16.6415,ms
frame_interval,gpui-native,load,poc,5,16.664625,ms
frame_interval,gpui-native,load,poc,6,16.671458333333334,ms
frame_interval,gpui-native,load,poc,7,16.6715,ms
frame_interval,gpui-native,load,poc,8,16.672291666666666,ms
frame_interval,gpui-native,load,poc,9,16.663625,ms
frame_interval,gpui-native,load,poc,10,16.67375,ms
frame_interval,gpui-native,load,poc,11,16.676166666666667,ms
frame_interval,gpui-native,load,poc,12,16.665458333333333,ms
frame_interval,gpui-native,load,poc,13,16.665541666666666,ms
frame_interval,gpui-native,load,poc,14,16.255041666666667,ms
frame_interval,gpui-native,load,poc,15,17.093833333333333,ms
frame_interval,gpui-native,load,poc,16,16.662083333333335,ms
frame_interval,gpui-native,load,poc,17,16.65,ms
frame_interval,gpui-native,load,poc,18,15.903875,ms
frame_interval,gpui-native,load,poc,19,17.429916666666667,ms
frame_interval,gpui-native,load,poc,20,16.671208333333333,ms
frame_interval,gpui-native,load,poc,21,16.668125,ms
frame_interval,gpui-native,load,poc,22,16.679916666666667,ms
frame_interval,gpui-native,load,poc,23,16.660041666666665,ms
frame_interval,gpui-native,load,poc,24,16.642791666666668,ms
frame_interval,gpui-native,load,poc,25,16.67375,ms
frame_interval,gpui-native,load,poc,26,16.657041666666665,ms
frame_interval,gpui-native,load,poc,27,16.670458333333332,ms
frame_interval,gpui-native,load,poc,28,16.671375,ms
frame_interval,gpui-native,load,poc,29,8.793583333333334,ms
frame_interval,gpui-native,load,poc,30,24.52775,ms
frame_interval,gpui-native,load,poc,31,16.660083333333333,ms
frame_interval,gpui-native,load,poc,32,16.667166666666667,ms
frame_interval,gpui-native,load,poc,33,16.683458333333334,ms
frame_interval,gpui-native,load,poc,34,16.348916666666668,ms
frame_interval,gpui-native,load,poc,35,16.98525,ms
frame_interval,gpui-native,load,poc,36,16.667166666666667,ms
