# gpui-term run metadata (parse rows below; lines starting '#' are comments)
# display=Built-in Retina Display [1470x956 @ 0,0] (max 60 Hz)
# build=release seed=42 bytes_per_sec=500000 windows=1 streaming=1 bg_bps=0
# mode=scroll+resize+select scrollback=10000 gpui_txn=0 damage_only=0 trace=-
metric,stack,phase,build,idx,value,unit
frame_interval,gpui-native,load,poc,0,43.20379166666667,ms
frame_interval,gpui-native,load,poc,1,16.64825,ms
frame_interval,gpui-native,load,poc,2,16.661083333333334,ms
frame_interval,gpui-native,load,poc,3,15.402291666666667,ms
frame_interval,gpui-native,load,poc,4,17.92845833333333,ms
frame_interval,gpui-native,load,poc,5,16.649166666666666,ms
frame_interval,gpui-native,load,poc,6,16.670291666666667,ms
frame_interval,gpui-native,load,poc,7,16.669291666666666,ms
frame_interval,gpui-native,load,poc,8,16.659875,ms
frame_interval,gpui-native,load,poc,9,16.043125,ms
frame_interval,gpui-native,load,poc,10,15.360583333333334,ms
frame_interval,gpui-native,load,poc,11,18.63895833333333,ms
frame_interval,gpui-native,load,poc,12,16.626375,ms
frame_interval,gpui-native,load,poc,13,16.680041666666668,ms
frame_interval,gpui-native,load,poc,14,16.647083333333335,ms
frame_interval,gpui-native,load,poc,15,16.683041666666664,ms
frame_interval,gpui-native,load,poc,16,16.668208333333332,ms
frame_interval,gpui-native,load,poc,17,16.674083333333336,ms
frame_interval,gpui-native,load,poc,18,16.642916666666665,ms
frame_interval,gpui-native,load,poc,19,16.676291666666668,ms
frame_interval,gpui-native,load,poc,20,16.691625,ms
frame_interval,gpui-native,load,poc,21,16.651333333333334,ms
frame_interval,gpui-native,load,poc,22,15.177791666666666,ms
frame_interval,gpui-native,load,poc,23,16.611541666666668,ms
frame_interval,gpui-native,load,poc,24,18.211625,ms
frame_interval,gpui-native,load,poc,25,16.66025,ms
frame_interval,gpui-native,load,poc,26,16.686916666666665,ms
frame_interval,gpui-native,load,poc,27,14.71875,ms
frame_interval,gpui-native,load,poc,28,18.5995,ms
frame_interval,gpui-native,load,poc,29,11.542208333333335,ms
frame_interval,gpui-native,load,poc,30,21.790625,ms
frame_interval,gpui-native,load,poc,31,15.897125,ms
frame_interval,gpui-native,load,poc,32,17.450041666666667,ms
frame_interval,gpui-native,load,poc,33,16.657458333333334,ms
frame_interval,gpui-native,load,poc,34,16.659166666666668,ms
frame_interval,gpui-native,load,poc,35,16.662791666666667,ms
frame_interval,gpui-native,load,poc,36,16.664583333333333,ms
frame_interval,gpui-native,load,poc,37,16.657791666666665,ms
frame_interval,gpui-native,load,poc,38,16.67425,ms
frame_interval,gpui-native,load,poc,39,16.665416666666665,ms
frame_interval,gpui-native,load,poc,40,16.666833333333333,ms
frame_interval,gpui-native,load,poc,41,16.676,ms
frame_interval,gpui-native,load,poc,42,16.664416666666668,ms
frame_interval,gpui-native,load,poc,43,16.65825,ms
frame_interval,gpui-native,load,poc,44,16.673333333333336,ms
frame_interval,gpui-native,load,poc,45,16.6695,ms
frame_interval,gpui-native,load,poc,46,16.656916666666667,ms
frame_interval,gpui-native,load,poc,47,16.669333333333334,ms
frame_interval,gpui-native,load,poc,48,16.667166666666667,ms
frame_interval,gpui-native,load,poc,49,16.714166666666667,ms
frame_interval,gpui-native,load,poc,50,16.685625,ms
frame_interval,gpui-native,load,poc,51,16.631125,ms
frame_interval,gpui-native,load,poc,52,16.66725,ms
frame_interval,gpui-native,load,poc,53,15.184166666666666,ms
frame_interval,gpui-native,load,poc,54,18.134875,ms
frame_interval,gpui-native,load,poc,55,16.656958333333336,ms
frame_interval,gpui-native,load,poc,56,16.665083333333335,ms
frame_interval,gpui-native,load,poc,57,15.921375,ms
frame_interval,gpui-native,load,poc,58,17.4075,ms
frame_interval,gpui-native,load,poc,59,16.663666666666668,ms
frame_interval,gpui-native,load,poc,60,16.671791666666667,ms
frame_interval,gpui-native,load,poc,61,16.655708333333333,ms
frame_interval,gpui-native,load,poc,62,16.68725,ms
frame_interval,gpui-native,load,poc,63,16.72425,ms
frame_interval,gpui-native,load,poc,64,16.619541666666667,ms
frame_interval,gpui-native,load,poc,65,16.645166666666665,ms
frame_interval,gpui-native,load,poc,66,16.586166666666667,ms
frame_interval,gpui-native,load,poc,67,16.743458333333333,ms
frame_interval,gpui-native,load,poc,68,16.666541666666667,ms
frame_interval,gpui-native,load,poc,69,16.664416666666668,ms
frame_interval,gpui-native,load,poc,70,16.670416666666664,ms
frame_interval,gpui-native,load,poc,71,14.716541666666666,ms
frame_interval,gpui-native,load,poc,72,18.617,ms
frame_interval,gpui-native,load,poc,73,16.66475,ms
frame_interval,gpui-native,load,poc,74,14.983541666666666,ms
frame_interval,gpui-native,load,poc,75,18.350875,ms
frame_interval,gpui-native,load,poc,76,16.748,ms
frame_interval,gpui-native,load,poc,77,10.296916666666666,ms
frame_interval,gpui-native,load,poc,78,22.95029166666667,ms
frame_interval,gpui-native,load,poc,79,16.673458333333333,ms
frame_interval,gpui-native,load,poc,80,16.667208333333335,ms
frame_interval,gpui-native,load,poc,81,16.661791666666666,ms
frame_interval,gpui-native,load,poc,82,16.666375,ms
frame_interval,gpui-native,load,poc,83,16.740333333333336,ms
frame_interval,gpui-native,load,poc,84,15.197833333333334,ms
frame_interval,gpui-native,load,poc,85,18.063166666666667,ms
frame_interval,gpui-native,load,poc,86,16.738125,ms
frame_interval,gpui-native,load,poc,87,15.09325,ms
frame_interval,gpui-native,load,poc,88,18.17225,ms
frame_interval,gpui-native,load,poc,89,16.691166666666668,ms
frame_interval,gpui-native,load,poc,90,16.6465,ms
frame_interval,gpui-native,load,poc,91,16.654291666666666,ms
frame_interval,gpui-native,load,poc,92,16.682875,ms
frame_interval,gpui-native,load,poc,93,16.675833333333333,ms
frame_interval,gpui-native,load,poc,94,15.241625,ms
frame_interval,gpui-native,load,poc,95,18.07091666666667,ms
