# gpui-term run metadata (parse rows below; lines starting '#' are comments)
# display=Built-in Retina Display [1470x956 @ 0,0] (max 60 Hz)
# build=release seed=42 bytes_per_sec=500000 windows=1 streaming=1 bg_bps=0
# mode=select scrollback=10000 gpui_txn=0 damage_only=0 trace=-
metric,stack,phase,build,idx,value,unit
frame_interval,gpui-native,load,poc,0,38.45820833333334,ms
frame_interval,gpui-native,load,poc,1,16.623541666666664,ms
frame_interval,gpui-native,load,poc,2,16.655708333333333,ms
frame_interval,gpui-native,load,poc,3,16.691625,ms
frame_interval,gpui-native,load,poc,4,16.665083333333335,ms
frame_interval,gpui-native,load,poc,5,16.664708333333333,ms
frame_interval,gpui-native,load,poc,6,16.664833333333334,ms
frame_interval,gpui-native,load,poc,7,16.650208333333335,ms
frame_interval,gpui-native,load,poc,8,16.809166666666666,ms
frame_interval,gpui-native,load,poc,9,16.541666666666664,ms
frame_interval,gpui-native,load,poc,10,16.401875,ms
frame_interval,gpui-native,load,poc,11,16.921041666666667,ms
frame_interval,gpui-native,load,poc,12,16.665625,ms
frame_interval,gpui-native,load,poc,13,16.6845,ms
frame_interval,gpui-native,load,poc,14,16.675083333333333,ms
frame_interval,gpui-native,load,poc,15,16.645375,ms
frame_interval,gpui-native,load,poc,16,16.680458333333334,ms
frame_interval,gpui-native,load,poc,17,16.663583333333335,ms
frame_interval,gpui-native,load,poc,18,16.664583333333333,ms
frame_interval,gpui-native,load,poc,19,16.648333333333333,ms
frame_interval,gpui-native,load,poc,20,16.679916666666667,ms
frame_interval,gpui-native,load,poc,21,16.67325,ms
frame_interval,gpui-native,load,poc,22,16.6675,ms
frame_interval,gpui-native,load,poc,23,16.665041666666667,ms
frame_interval,gpui-native,load,poc,24,16.663666666666668,ms
frame_interval,gpui-native,load,poc,25,16.659583333333334,ms
frame_interval,gpui-native,load,poc,26,16.672041666666665,ms
frame_interval,gpui-native,load,poc,27,15.713666666666667,ms
frame_interval,gpui-native,load,poc,28,17.619333333333334,ms
frame_interval,gpui-native,load,poc,29,16.674916666666665,ms
frame_interval,gpui-native,load,poc,30,14.994166666666667,ms
frame_interval,gpui-native,load,poc,31,18.333,ms
frame_interval,gpui-native,load,poc,32,16.661291666666667,ms
frame_interval,gpui-native,load,poc,33,16.059875,ms
frame_interval,gpui-native,load,poc,34,17.27325,ms
frame_interval,gpui-native,load,poc,35,16.747333333333334,ms
frame_interval,gpui-native,load,poc,36,14.852166666666665,ms
frame_interval,gpui-native,load,poc,37,18.44591666666667,ms
frame_interval,gpui-native,load,poc,38,16.396208333333334,ms
frame_interval,gpui-native,load,poc,39,16.920333333333332,ms
frame_interval,gpui-native,load,poc,40,16.651,ms
frame_interval,gpui-native,load,poc,41,16.311708333333335,ms
frame_interval,gpui-native,load,poc,42,17.016416666666668,ms
frame_interval,gpui-native,load,poc,43,16.668416666666666,ms
frame_interval,gpui-native,load,poc,44,16.647791666666667,ms
frame_interval,gpui-native,load,poc,45,16.114416666666667,ms
frame_interval,gpui-native,load,poc,46,17.22820833333333,ms
frame_interval,gpui-native,load,poc,47,16.6665,ms
frame_interval,gpui-native,load,poc,48,16.664083333333334,ms
frame_interval,gpui-native,load,poc,49,16.67,ms
frame_interval,gpui-native,load,poc,50,14.987958333333333,ms
frame_interval,gpui-native,load,poc,51,18.3415,ms
frame_interval,gpui-native,load,poc,52,16.669916666666666,ms
frame_interval,gpui-native,load,poc,53,16.677333333333333,ms
frame_interval,gpui-native,load,poc,54,15.730791666666667,ms
frame_interval,gpui-native,load,poc,55,17.593833333333333,ms
frame_interval,gpui-native,load,poc,56,16.663583333333335,ms
frame_interval,gpui-native,load,poc,57,16.669958333333334,ms
frame_interval,gpui-native,load,poc,58,16.665208333333332,ms
