# gpui-term run metadata (parse rows below; lines starting '#' are comments)
# display=Built-in Retina Display [1470x956 @ 0,0] (max 60 Hz)
# build=release seed=42 bytes_per_sec=500000 windows=7 streaming=3 bg_bps=0
# mode=trace scrollback=10000 gpui_txn=0 damage_only=0 trace=/private/tmp/claude-501/-Users-nick-Projects-nice--claude-worktrees-rewrite/751b793c-3c0a-417c-a340-55b74268b921/scratchpad/claude-session.nicetrace
metric,stack,phase,build,idx,value,unit
frame_interval,gpui-native-w0-stream,load,poc,0,49.08829166666666,ms
frame_interval,gpui-native-w0-stream,load,poc,1,16.487708333333334,ms
frame_interval,gpui-native-w0-stream,load,poc,2,16.315958333333334,ms
frame_interval,gpui-native-w0-stream,load,poc,3,17.069625,ms
frame_interval,gpui-native-w0-stream,load,poc,4,16.472416666666668,ms
frame_interval,gpui-native-w0-stream,load,poc,5,16.635625,ms
frame_interval,gpui-native-w0-stream,load,poc,6,16.194,ms
frame_interval,gpui-native-w0-stream,load,poc,7,17.11583333333333,ms
frame_interval,gpui-native-w0-stream,load,poc,8,16.5725,ms
frame_interval,gpui-native-w0-stream,load,poc,9,16.299083333333336,ms
frame_interval,gpui-native-w0-stream,load,poc,10,16.935583333333334,ms
frame_interval,gpui-native-w0-stream,load,poc,11,15.879375,ms
frame_interval,gpui-native-w0-stream,load,poc,12,17.010125,ms
frame_interval,gpui-native-w0-stream,load,poc,13,17.28229166666667,ms
frame_interval,gpui-native-w0-stream,load,poc,14,16.912125,ms
frame_interval,gpui-native-w0-stream,load,poc,15,16.705541666666665,ms
frame_interval,gpui-native-w0-stream,load,poc,16,16.26325,ms
frame_interval,gpui-native-w0-stream,load,poc,17,16.615,ms
frame_interval,gpui-native-w0-stream,load,poc,18,16.931708333333333,ms
frame_interval,gpui-native-w0-stream,load,poc,19,16.87858333333333,ms
frame_interval,gpui-native-w0-stream,load,poc,20,16.689083333333333,ms
frame_interval,gpui-native-w0-stream,load,poc,21,16.244083333333332,ms
frame_interval,gpui-native-w0-stream,load,poc,22,16.89679166666667,ms
frame_interval,gpui-native-w0-stream,load,poc,23,16.710375,ms
frame_interval,gpui-native-w0-stream,load,poc,24,15.633583333333334,ms
frame_interval,gpui-native-w0-stream,load,poc,25,17.984166666666667,ms
frame_interval,gpui-native-w0-stream,load,poc,26,16.77766666666667,ms
frame_interval,gpui-native-w0-stream,load,poc,27,15.926125,ms
frame_interval,gpui-native-w0-stream,load,poc,28,16.687125,ms
frame_interval,gpui-native-w0-stream,load,poc,29,16.666041666666665,ms
frame_interval,gpui-native-w0-stream,load,poc,30,20.616125,ms
frame_interval,gpui-native-w0-stream,load,poc,31,13.070125,ms
frame_interval,gpui-native-w0-stream,load,poc,32,19.32525,ms
frame_interval,gpui-native-w0-stream,load,poc,33,13.662916666666666,ms
frame_interval,gpui-native-w0-stream,load,poc,34,17.05275,ms
frame_interval,gpui-native-w0-stream,load,poc,35,17.193875,ms
frame_interval,gpui-native-w0-stream,load,poc,36,15.749166666666666,ms
frame_interval,gpui-native-w0-stream,load,poc,37,17.62395833333333,ms
frame_interval,gpui-native-w0-stream,load,poc,38,16.199916666666667,ms
frame_interval,gpui-native-w0-stream,load,poc,39,16.633916666666668,ms
frame_interval,gpui-native-w0-stream,load,poc,40,16.625583333333335,ms
frame_interval,gpui-native-w0-stream,load,poc,41,16.653583333333334,ms
frame_interval,gpui-native-w0-stream,load,poc,42,17.207583333333332,ms
