# gpui-term run metadata (parse rows below; lines starting '#' are comments)
# display=Built-in Retina Display [1470x956 @ 0,0] (max 60 Hz)
# build=release seed=42 bytes_per_sec=500000 windows=1 streaming=1 bg_bps=0
# mode=trace-drain scrollback=10000 gpui_txn=0 damage_only=0 trace=/private/tmp/claude-501/-Users-nick-Projects-nice--claude-worktrees-rewrite/751b793c-3c0a-417c-a340-55b74268b921/scratchpad/claude-session.nicetrace
metric,stack,phase,build,idx,value,unit
frame_interval,gpui-native,load,poc,0,49.418416666666666,ms
frame_interval,gpui-native,load,poc,1,16.667958333333335,ms
frame_interval,gpui-native,load,poc,2,16.709208333333333,ms
frame_interval,gpui-native,load,poc,3,16.643208333333334,ms
frame_interval,gpui-native,load,poc,4,16.997041666666668,ms
frame_interval,gpui-native,load,poc,5,16.311166666666665,ms
frame_interval,gpui-native,load,poc,6,16.666083333333333,ms
frame_interval,gpui-native,load,poc,7,16.677916666666665,ms
frame_interval,gpui-native,load,poc,8,16.666916666666665,ms
frame_interval,gpui-native,load,poc,9,16.666708333333332,ms
frame_interval,gpui-native,load,poc,10,16.666208333333334,ms
frame_interval,gpui-native,load,poc,11,16.656833333333335,ms
frame_interval,gpui-native,load,poc,12,16.567125,ms
frame_interval,gpui-native,load,poc,13,16.760875,ms
frame_interval,gpui-native,load,poc,14,16.688125,ms
frame_interval,gpui-native,load,poc,15,16.670583333333333,ms
frame_interval,gpui-native,load,poc,16,16.670125,ms
frame_interval,gpui-native,load,poc,17,16.667875,ms
frame_interval,gpui-native,load,poc,18,16.660208333333333,ms
frame_interval,gpui-native,load,poc,19,16.669875,ms
frame_interval,gpui-native,load,poc,20,16.657666666666668,ms
frame_interval,gpui-native,load,poc,21,16.676416666666665,ms
frame_interval,gpui-native,load,poc,22,16.665416666666665,ms
frame_interval,gpui-native,load,poc,23,16.657333333333334,ms
frame_interval,gpui-native,load,poc,24,16.691708333333334,ms
frame_interval,gpui-native,load,poc,25,16.643875,ms
frame_interval,gpui-native,load,poc,26,16.66025,ms
frame_interval,gpui-native,load,poc,27,16.656125,ms
frame_interval,gpui-native,load,poc,28,16.670333333333335,ms
frame_interval,gpui-native,load,poc,29,16.684916666666666,ms
frame_interval,gpui-native,load,poc,30,15.663666666666666,ms
frame_interval,gpui-native,load,poc,31,17.66125,ms
frame_interval,gpui-native,load,poc,32,16.658541666666665,ms
frame_interval,gpui-native,load,poc,33,16.717833333333335,ms
frame_interval,gpui-native,load,poc,34,16.64625,ms
frame_interval,gpui-native,load,poc,35,16.643833333333333,ms
frame_interval,gpui-native,load,poc,36,16.6605,ms
frame_interval,gpui-native,load,poc,37,16.674916666666665,ms
frame_interval,gpui-native,load,poc,38,16.657458333333334,ms
frame_interval,gpui-native,load,poc,39,16.67675,ms
frame_interval,gpui-native,load,poc,40,16.688875,ms
frame_interval,gpui-native,load,poc,41,16.633583333333334,ms
frame_interval,gpui-native,load,poc,42,16.677041666666668,ms
frame_interval,gpui-native,load,poc,43,16.661708333333333,ms
frame_interval,gpui-native,load,poc,44,16.663291666666666,ms
frame_interval,gpui-native,load,poc,45,16.661625,ms
frame_interval,gpui-native,load,poc,46,16.67125,ms
frame_interval,gpui-native,load,poc,47,16.666416666666667,ms
frame_interval,gpui-native,load,poc,48,16.660541666666667,ms
frame_interval,gpui-native,load,poc,49,16.672583333333336,ms
frame_interval,gpui-native,load,poc,50,16.662958333333332,ms
frame_interval,gpui-native,load,poc,51,16.672291666666666,ms
frame_interval,gpui-native,load,poc,52,16.697791666666667,ms
frame_interval,gpui-native,load,poc,53,16.67275,ms
frame_interval,gpui-native,load,poc,54,16.710833333333333,ms
mem_phys,gpui-native,0.3s,poc,0,96.13,MiB
mem_phys,gpui-native,0.5s,poc,1,96.13,MiB
mem_phys,gpui-native,0.8s,poc,2,96.25,MiB
