# gpui-term run metadata (parse rows below; lines starting '#' are comments)
# display=Built-in Retina Display [1470x956 @ 0,0] (max 60 Hz)
# build=release seed=42 bytes_per_sec=500000 windows=1 streaming=1 bg_bps=0
# mode=trace scrollback=10000 gpui_txn=0 damage_only=0 trace=/private/tmp/claude-501/-Users-nick-Projects-nice--claude-worktrees-rewrite/751b793c-3c0a-417c-a340-55b74268b921/scratchpad/claude-stream.nicetrace
metric,stack,phase,build,idx,value,unit
frame_interval,gpui-native,load,poc,0,45.121375,ms
frame_interval,gpui-native,load,poc,1,16.620833333333334,ms
frame_interval,gpui-native,load,poc,2,16.6965,ms
frame_interval,gpui-native,load,poc,3,16.646,ms
frame_interval,gpui-native,load,poc,4,16.689333333333334,ms
frame_interval,gpui-native,load,poc,5,16.641416666666665,ms
frame_interval,gpui-native,load,poc,6,16.66125,ms
frame_interval,gpui-native,load,poc,7,16.711125,ms
frame_interval,gpui-native,load,poc,8,16.625375,ms
frame_interval,gpui-native,load,poc,9,16.668958333333332,ms
frame_interval,gpui-native,load,poc,10,16.667916666666667,ms
frame_interval,gpui-native,load,poc,11,16.258666666666667,ms
frame_interval,gpui-native,load,poc,12,17.07420833333333,ms
frame_interval,gpui-native,load,poc,13,16.679541666666665,ms
frame_interval,gpui-native,load,poc,14,16.647625,ms
frame_interval,gpui-native,load,poc,15,16.68,ms
frame_interval,gpui-native,load,poc,16,16.541458333333335,ms
frame_interval,gpui-native,load,poc,17,16.7745,ms
frame_interval,gpui-native,load,poc,18,16.686375,ms
frame_interval,gpui-native,load,poc,19,16.66425,ms
frame_interval,gpui-native,load,poc,20,16.654833333333332,ms
frame_interval,gpui-native,load,poc,21,16.673583333333333,ms
frame_interval,gpui-native,load,poc,22,16.666916666666665,ms
frame_interval,gpui-native,load,poc,23,16.690458333333336,ms
frame_interval,gpui-native,load,poc,24,16.653208333333335,ms
frame_interval,gpui-native,load,poc,25,16.665166666666668,ms
frame_interval,gpui-native,load,poc,26,16.661041666666666,ms
frame_interval,gpui-native,load,poc,27,16.669541666666667,ms
frame_interval,gpui-native,load,poc,28,16.66475,ms
frame_interval,gpui-native,load,poc,29,16.671333333333333,ms
frame_interval,gpui-native,load,poc,30,16.171416666666666,ms
frame_interval,gpui-native,load,poc,31,17.147291666666668,ms
frame_interval,gpui-native,load,poc,32,16.680375,ms
frame_interval,gpui-native,load,poc,33,16.662083333333335,ms
frame_interval,gpui-native,load,poc,34,16.669625,ms
frame_interval,gpui-native,load,poc,35,16.6665,ms
frame_interval,gpui-native,load,poc,36,16.667541666666665,ms
frame_interval,gpui-native,load,poc,37,16.662958333333332,ms
frame_interval,gpui-native,load,poc,38,16.667958333333335,ms
frame_interval,gpui-native,load,poc,39,16.66525,ms
frame_interval,gpui-native,load,poc,40,16.666375,ms
frame_interval,gpui-native,load,poc,41,16.740291666666668,ms
frame_interval,gpui-native,load,poc,42,15.646,ms
frame_interval,gpui-native,load,poc,43,17.674083333333332,ms
frame_interval,gpui-native,load,poc,44,16.612708333333334,ms
frame_interval,gpui-native,load,poc,45,16.355375,ms
frame_interval,gpui-native,load,poc,46,17.044375,ms
frame_interval,gpui-native,load,poc,47,16.65525,ms
frame_interval,gpui-native,load,poc,48,16.647458333333333,ms
frame_interval,gpui-native,load,poc,49,15.681083333333333,ms
frame_interval,gpui-native,load,poc,50,17.67170833333333,ms
frame_interval,gpui-native,load,poc,51,16.667958333333335,ms
frame_interval,gpui-native,load,poc,52,16.649708333333333,ms
frame_interval,gpui-native,load,poc,53,16.670208333333335,ms
frame_interval,gpui-native,load,poc,54,16.6755,ms
frame_interval,gpui-native,load,poc,55,16.663041666666665,ms
frame_interval,gpui-native,load,poc,56,16.670833333333334,ms
frame_interval,gpui-native,load,poc,57,16.639666666666667,ms
frame_interval,gpui-native,load,poc,58,15.68925,ms
frame_interval,gpui-native,load,poc,59,17.64870833333333,ms
frame_interval,gpui-native,load,poc,60,16.6485,ms
frame_interval,gpui-native,load,poc,61,16.694083333333335,ms
frame_interval,gpui-native,load,poc,62,16.652375,ms
frame_interval,gpui-native,load,poc,63,16.6525,ms
frame_interval,gpui-native,load,poc,64,16.695458333333335,ms
frame_interval,gpui-native,load,poc,65,16.681333333333335,ms
frame_interval,gpui-native,load,poc,66,16.642541666666666,ms
frame_interval,gpui-native,load,poc,67,16.689916666666665,ms
frame_interval,gpui-native,load,poc,68,16.66725,ms
frame_interval,gpui-native,load,poc,69,16.651041666666664,ms
frame_interval,gpui-native,load,poc,70,16.668,ms
frame_interval,gpui-native,load,poc,71,16.661375,ms
frame_interval,gpui-native,load,poc,72,16.6755,ms
frame_interval,gpui-native,load,poc,73,15.966083333333334,ms
frame_interval,gpui-native,load,poc,74,17.13179166666667,ms
frame_interval,gpui-native,load,poc,75,16.894625,ms
frame_interval,gpui-native,load,poc,76,16.45825,ms
frame_interval,gpui-native,load,poc,77,16.883208333333332,ms
frame_interval,gpui-native,load,poc,78,16.636666666666667,ms
frame_interval,gpui-native,load,poc,79,16.672125,ms
frame_interval,gpui-native,load,poc,80,16.66375,ms
frame_interval,gpui-native,load,poc,81,16.687875,ms
frame_interval,gpui-native,load,poc,82,16.680833333333332,ms
frame_interval,gpui-native,load,poc,83,16.669041666666665,ms
frame_interval,gpui-native,load,poc,84,16.636375,ms
frame_interval,gpui-native,load,poc,85,16.703458333333334,ms
frame_interval,gpui-native,load,poc,86,16.66175,ms
frame_interval,gpui-native,load,poc,87,16.666208333333334,ms
frame_interval,gpui-native,load,poc,88,16.664541666666665,ms
frame_interval,gpui-native,load,poc,89,16.655833333333334,ms
frame_interval,gpui-native,load,poc,90,16.631833333333333,ms
frame_interval,gpui-native,load,poc,91,16.667333333333335,ms
frame_interval,gpui-native,load,poc,92,16.712583333333335,ms
frame_interval,gpui-native,load,poc,93,16.636291666666665,ms
frame_interval,gpui-native,load,poc,94,16.694,ms
frame_interval,gpui-native,load,poc,95,16.667583333333333,ms
frame_interval,gpui-native,load,poc,96,16.657083333333333,ms
frame_interval,gpui-native,load,poc,97,16.678916666666666,ms
frame_interval,gpui-native,load,poc,98,16.655916666666666,ms
frame_interval,gpui-native,load,poc,99,16.666291666666666,ms
frame_interval,gpui-native,load,poc,100,16.650375,ms
frame_interval,gpui-native,load,poc,101,15.682541666666665,ms
frame_interval,gpui-native,load,poc,102,17.66241666666667,ms
frame_interval,gpui-native,load,poc,103,16.626458333333336,ms
frame_interval,gpui-native,load,poc,104,16.679958333333335,ms
frame_interval,gpui-native,load,poc,105,16.650583333333334,ms
frame_interval,gpui-native,load,poc,106,15.953833333333334,ms
frame_interval,gpui-native,load,poc,107,17.366875,ms
frame_interval,gpui-native,load,poc,108,16.672625,ms
frame_interval,gpui-native,load,poc,109,16.706375,ms
frame_interval,gpui-native,load,poc,110,16.69225,ms
frame_interval,gpui-native,load,poc,111,16.65975,ms
frame_interval,gpui-native,load,poc,112,15.65975,ms
frame_interval,gpui-native,load,poc,113,17.234291666666667,ms
frame_interval,gpui-native,load,poc,114,17.104375,ms
frame_interval,gpui-native,load,poc,115,16.646666666666665,ms
